ID_DECLARATION;TYPE_DECLARATION;SOUS TYPE DECLARATION;ADRESSE;CODE POSTAL;VILLE;ARRONDISSEMENT;CONSEIL DE QUARTIER;DATE DECLARATION;ANNEE_DECLARATION;MOIS_DECLARATION;OUTIL SOURCE;INTERVENANT;ID_DMR;geo_shape;geo_point_2d
27242;Autos, motos, vélos...;[] Épave de trottinette - TIER - intervention demandée;3 Rue Tardieu, 75018 PARIS;75018;Paris 18;18;MONTMARTRE;2021-01-17;2021;1;IOPage DMR Paris.fr application;TIER;A2021A027242;"{""coordinates"": [2.3423126065407702, 48.884082999140496], ""type"": ""Point""}";48.884082999140496,2.3423126065407702
9356;Autos, motos, vélos...;Épave de vélo;44 Rue des Meuniers, 75012 PARIS;75012;Paris 12;12;VALLEE DE FECAMP;2021-01-07;2021;1;Androï;DPMP-UEV;G2021A009356;"{""coordinates"": [2.396026102147681, 48.835019999194216], ""type"": ""Point""}";48.835019999194216,2.396026102147681
9377;Mobiliers urbains;Autres:Borne de recharge électrique détériorée (Belib');39 rue Saint-Maur, 75011 PARIS;75011;Paris 11;11;LEON BLUM - FOLIE-REGNAULT;2021-01-07;2021;1;Page DMR Paris.fr;TEVGO tout Paris;S2021A009377;"{""coordinates"": [2.380743999441447, 48.861393003298716], ""type"": ""Point""}";48.861393003298716,2.380743999441447
10158;Éclairage / Électricité;Éclairage public éteint la nuit;3 rue du Lunain, 75014 PARIS;75014;Paris 14;14;JEAN MOULIN - PORTE D'ORLEANS;2021-01-07;2021;1;Page DMR Paris.fr;Prestataire de la DVD opérant sur tout Paris (Éclairage et signalisation lumineuse);S2021A010158;"{""coordinates"": [2.329306997151299, 48.827509997501764], ""type"": ""Point""}";48.827509997501764,2.329306997151299
11830;Autos, motos, vélos...;Automobile ou autre véhicule motorisé en stationnement gênant;65 Rue Ganneron, 75018 PARIS;75018;Paris 18;18;GRANDES CARRIERES - CLICHY;2021-01-08;2021;1;Androï;DPMP-SCOP;G2021A011830;"{""coordinates"": [2.328657896371652, 48.88977399622651], ""type"": ""Point""}";48.88977399622651,2.328657896371652
7715;Objets abandonnés;Autres objets encombrants abandonnés;204 Rue de la Convention, 75015 PARIS;75015;Paris 15;15;VAUGIRARD - PARC DES EXPOSITIONS;2021-01-06;2021;1;IOPage DMR Paris.fr application;Ramen en tant que prestataire de DansMaRue;A2021A007715;"{""coordinates"": [2.297044793690659, 48.83692599520291], ""type"": ""Point""}";48.83692599520291,2.297044793690659
7733;Propreté;[] Patrouille propreté DT;10 Rue Mouffetard, 75005 PARIS;75005;Paris 5;5;VAL DE GRACE;2021-01-06;2021;1;Androï;DPE-STPP-DT;G2021A007733;"{""coordinates"": [2.34910539392671, 48.84449999893072], ""type"": ""Point""}";48.84449999893072,2.34910539392671
8528;Propreté;Déchets et/ou salissures divers;3 Rue de la Baume, 75008 PARIS;75008;Paris 8;8;SAINT - PHILIPPE DU ROULE;2021-01-07;2021;1;Androï;DPE-STPP-DT;G2021A008528;"{""coordinates"": [2.310584498735936, 48.87436300084044], ""type"": ""Point""}";48.87436300084044,2.310584498735936
8529;Éclairage / Électricité;Éclairage public éteint la nuit;16 rue Pétrarque, 75116 PARIS;75016;Paris 16;16;MUETTE NORD;2021-01-07;2021;1;Page DMR Paris.fr;Prestataire de la DVD opérant sur tout Paris (Éclairage et signalisation lumineuse);S2021A008529;"{""coordinates"": [2.283461603437634, 48.861959995034184], ""type"": ""Point""}";48.861959995034184,2.283461603437634
8552;Objets abandonnés;Autres objets encombrants abandonnés;114 Rue Brancion, 75015 PARIS;75015;Paris 15;15;GEORGES BRASSENS;2021-01-07;2021;1;Androï;Ramen en tant que prestataire de DansMaRue;G2021A008552;"{""coordinates"": [2.30159260164799, 48.82945999682392], ""type"": ""Point""}";48.82945999682392,2.30159260164799
8557;Éclairage / Électricité;Éclairage public éteint la nuit;8 Boulevard de la Chapelle, 75018 PARIS;75018;Paris 18;18;LA CHAPELLE - MARX DORMOY;2021-01-07;2021;1;IOPage DMR Paris.fr application;Prestataire de la DVD opérant sur tout Paris (Éclairage et signalisation lumineuse);A2021A008557;"{""coordinates"": [2.364360598715137, 48.88458999843046], ""type"": ""Point""}";48.88458999843046,2.364360598715137
9380;Voirie et espace public;Feux tricolores :Feu tricolore mal orienté;65 Rue Marcadet, 75018 PARIS;75018;Paris 18;18;CLIGNANCOURT - JULES JOFFRIN;2021-01-07;2021;1;IOPage DMR Paris.fr application;Prestataire de la DVD opérant sur tout Paris (Éclairage et signalisation lumineuse);A2021A009380;"{""coordinates"": [2.348429703547546, 48.890380002907875], ""type"": ""Point""}";48.890380002907875,2.348429703547546
